Restaurant_Link,Restaurant_ID,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/892-e-tremont-av-liquors-inc-884-e-tremont-ave-bronx/6319752,6319752,892 E Tremont Av Liquors Inc,58 ratings,Alcohol
https://www.grubhub.com/restaurant/trippies-strips--dips-89-21-northern-blvd-jackson-heights/6494976,6494976,Trippies Strips & Dips,NA,Fast Food
https://www.grubhub.com/restaurant/cvs-69-80-grand-ave-maspeth/7256336,7256336,CVS,12 ratings,Convenience
https://www.grubhub.com/restaurant/allans-cheesesteaks-1117-broadway-brooklyn/3312397,3312397,Allan's Cheesesteaks,3 ratings,Fast Food
https://www.grubhub.com/restaurant/trippies-strips--dips-89-21-northern-blvd-jackson-heights/6494976,6494976,Trippies Strips & Dips,NA,Fast Food
https://www.grubhub.com/restaurant/cvs-69-80-grand-ave-maspeth/7256336,7256336,CVS,12 ratings,Convenience
https://www.grubhub.com/restaurant/allans-cheesesteaks-1117-broadway-brooklyn/3312397,3312397,Allan's Cheesesteaks,3 ratings,Fast Food
https://www.grubhub.com/restaurant/famous-pizza-578-9th-ave-new-york/4879560,4879560,Famous Pizza,NA,Pizza
https://www.grubhub.com/restaurant/anytime-breakfast-burritos-690-north-ave-new-rochelle/6036384,6036384,Anytime Breakfast Burritos,NA,Breakfast
https://www.grubhub.com/restaurant/bagel-oven-24-mill-rd-eastchester/1711430,1711430,Bagel Oven,392 ratings,Breakfast
https://www.grubhub.com/restaurant/chic-nuggets-spot-244-w-14th-st-new-york/2728292,2728292,Chic Nuggets Spot,NA,Fast Food
https://www.grubhub.com/restaurant/cr7-gourmet-deli-26-1st-avenue-new-york/3097903,3097903,CR7 Gourmet Deli,7 ratings,Bodega
https://www.grubhub.com/restaurant/vive-la-crpe-189-columbus-ave-new-york/2467443,2467443,Vive la Crêpe,109 ratings,Chicken
https://www.grubhub.com/restaurant/kings-highway-deli-and-grill-165-kings-hwy-brooklyn/5293608,5293608,Kings Highway Deli and Grill,3 ratings,Hamburger
https://www.grubhub.com/restaurant/sams-deli-xpress-1268-myrtle-ave-brooklyn/5755080,5755080,Sam's Deli Xpress,NA,Hamburger
https://www.grubhub.com/restaurant/gregorys-coffee---122-e-42nd-street-122-e-42nd-st-new-york/1966319,1966319,Gregorys Coffee - 122 E 42nd Street,64 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/chicken-tender-love-30-402-w-34th-st-new-york/3200946,3200946,Chicken Tender Love (30),NA,American
https://www.grubhub.com/restaurant/day-n-night-pancakes-9508-63rd-drive-rego-park/3252519,3252519,DAY N NIGHT PANCAKES,5 ratings,Breakfast
https://www.grubhub.com/restaurant/mille-feuille-bakery-552-laguardia-pl-new-york/384782,384782,Mille-Feuille Bakery,216 ratings,Bakery
https://www.grubhub.com/restaurant/matto-espresso-696-lexington-avenue-new-york/4319712,4319712,Matto Espresso,14 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/7-eleven-101-04-metropolitan-ave-forest-hills/2231443,2231443,7-Eleven,77 ratings,Convenience
https://www.grubhub.com/restaurant/mahant-inc-195-9th-ave-new-york/7230280,7230280,Mahant Inc,NA,Alcohol
https://www.grubhub.com/restaurant/catherine-deli--bagels-43-catherine-st-new-york/4058168,4058168,Catherine Deli & Bagels,15 ratings,Breakfast
https://www.grubhub.com/restaurant/breakfast-in-bed-164-nevins-st-brooklyn/7192040,7192040,Breakfast in Bed,NA,Breakfast
https://www.grubhub.com/restaurant/amore-italiano-699-classon-ave-brooklyn/3132500,3132500,Amore Italiano,6 ratings,Italian
https://www.grubhub.com/restaurant/dianas-flower-shop-2-1221-fteley-ave-bronx/7226808,7226808,Diana's Flower Shop 2,NA,Dessert
https://www.grubhub.com/restaurant/breakfast-beauties-941-columbus-ave-new-york/7161656,7161656,Breakfast Beauties,4 ratings,Breakfast
https://www.grubhub.com/restaurant/juice-press-225-liberty-st-new-york/3206327,3206327,Juice Press,24 ratings,Bowls
https://www.grubhub.com/restaurant/stellas-pancake-bar-201-2nd-ave-new-york/3170727,3170727,Stella's Pancake Bar,NA,Dessert
https://www.grubhub.com/restaurant/juice-generation-queens-520-47th-rd-long-island-city/2263901,2263901,Juice Generation (Queens),100 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/mias-breakfast-bar-lexington-ave-1101-lexington-ave-new-york/2785771,2785771,Mia's Breakfast Bar (Lexington Ave),NA,Breakfast
https://www.grubhub.com/restaurant/the-one-breakfast-burrito-265-bedford-ave-brooklyn/3183577,3183577,The One Breakfast Burrito,12 ratings,Breakfast
https://www.grubhub.com/restaurant/sullys-breakfast-sandwiches-154-7th-ave-new-york/3314432,3314432,Sully's Breakfast Sandwiches,5 ratings,Breakfast
https://www.grubhub.com/restaurant/tonic-juice-bar-2126-caton-ave-brooklyn/3222042,3222042,Tonic Juice Bar,5 ratings,Smoothies and Juices
https://www.grubhub.com/restaurant/la-nueva-bakery-86-10-37th-ave-queens/4479880,4479880,La Nueva Bakery,10 ratings,Mexican
https://www.grubhub.com/restaurant/for-five-coffee-roasters----brookfield-place-225-liberty-st-new-york/2368674,2368674,For Five Coffee Roasters - Brookfield Place,16 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/the-sandwich-doctor-1219-1st-avenue-new-york/3056641,3056641,The Sandwich Doctor,4 ratings,sandwich
https://www.grubhub.com/restaurant/relapse-wraps-740-10th-ave-new-york/5268264,5268264,Relapse Wraps,NA,Sandwich
https://www.grubhub.com/restaurant/flatbush-discount-liquors-1023-flatbush-ave-brooklyn/4911112,4911112,Flatbush Discount Liquors,175 ratings,Alcohol
https://www.grubhub.com/restaurant/dean-organic-market-486-dean-st-brooklyn/866534,866534,Dean Organic Market,183 ratings,Dinner
https://www.grubhub.com/restaurant/kennedys-fried-chicken-469-e-tremont-ave-new-york/2747186,2747186,Kennedy’s Fried Chicken,180 ratings,Hamburger
https://www.grubhub.com/restaurant/classic-cristos-154-7th-ave-new-york/3189542,3189542,Classic Cristos,4 ratings,Sandwich
https://www.grubhub.com/restaurant/tortilleria-y-taqueria-lenchita-corp-616-e-183rd-st-bronx/4664040,4664040,Tortilleria y Taqueria Lenchita Corp,120 ratings,Mexican
https://www.grubhub.com/restaurant/bakers-dozen-bagels-8109-lefferts-blvd-kew-gardens/89086,89086,Baker's Dozen Bagels,1727 ratings,Bagel
https://www.grubhub.com/restaurant/truegreens-751-white-plains-rd-eastchester/5317704,5317704,Truegreens,NA,Salads
https://www.grubhub.com/restaurant/brooklyn-natural-market--cafe-810-washington-ave-brooklyn/331220,331220,Brooklyn Natural Market & Cafe,2439 ratings,Convenience
https://www.grubhub.com/restaurant/el-pitallito-mexican-restaurant-3854-broadway-ave-new-york/295886,295886,El Pitallito Mexican Restaurant,893 ratings,Mexican
https://www.grubhub.com/restaurant/breads-bakery-union-square-e-16th-st-18-e-16th-st-new-york/2041025,2041025,Breads Bakery (Union Square) (E 16th St),697 ratings,Breakfast
https://www.grubhub.com/restaurant/bagel-villa-7221-5th-ave-brooklyn/3213364,3213364,Bagel Villa,807 ratings,Bagel
https://www.grubhub.com/restaurant/applebees-neighborhood-grill--bar-139-flatbush-ave-brooklyn/7556400,7556400,Applebee's Neighborhood Grill + Bar,25 ratings,Hamburger
https://www.grubhub.com/restaurant/thats-a-wrap-1708-broadway-brooklyn/7466784,7466784,Thats a Wrap,NA,Breakfast
https://www.grubhub.com/restaurant/east-coast-restaurant-658-rogers-ave-brooklyn/7692256,7692256,East Coast Restaurant,NA,Breakfast
https://www.grubhub.com/restaurant/ateaz-organic-coffee--tea-11629-metropolitan-ave-richmond-hill/350429,350429,Ateaz Organic Coffee & Tea,877 ratings,Dessert
https://www.grubhub.com/restaurant/caseys-quesadillas-38-01-vernon-blvd-new-york/6971488,6971488,Casey's Quesadillas,NA,Mexican
https://www.grubhub.com/restaurant/smokin-burger-grille-618-north-ave-new-rochelle/6894584,6894584,Smokin' Burger Grille,NA,Hamburger
https://www.grubhub.com/restaurant/dirty-burger-101-guyon-ave-staten-island/3038403,3038403,Dirty Burger,43 ratings,Hamburger
